Aktionsname;Aktionsdatum;Durchführendes Konto;Aktionsnummer;Masternummer;Dateiname;Nebenrechnungen
Zuweisung Anfangsguthaben;01.01.2021 07:42:00;31;1;272460;;
div. Surfen;01.01.2021 11:32:00;73;2;272463;;
Ansehen YouTube-Videos;01.01.2021 12:14:00;73;3;272464;;
Scan div. Radiosender;01.01.2021 12:21:00;58;4;272467;;
Bearb. Playlist;01.01.2021 13:03:00;9;5;272471;;
Eingabe LP Dreigroschenoper u.a.;01.01.2021 13:49:00;9;6;272477;;
Scootersuche;01.01.2021 17:26:00;20;7;272482;;
div. Surfen;01.01.2021 17:43:00;73;8;272484;;
Scan Radio Plattenkiste;01.01.2021 18:18:00;58;9;272485;;
MAME Mario Bros.;01.01.2021 19:18:00;56;10;272486;;
Ansehen YouTube-Videos;01.01.2021 19:39:00;73;11;272489;;
Bearbeitung PSR-60 ROM Disassembly 1;01.01.2021 21:04:00;32;12;272492;;
Bearb. Playlist / Evaluation Hörwerte;01.01.2021 21:12:00;9;13;272493;;
Anhören RW-Programm;01.01.2021 21:28:00;9;14;272495;;
Aufwandserfassung;01.01.2021 21:48:00;31;15;272497;;
Bearb. Koordinaten Tier;01.01.2021 22:35:00;20;16;272498;;
Bearbeitung Yamaha Playcard Songs in Videos;01.01.2021 22:38:00;32;17;272499;;
Scan div. Radiosender;02.01.2021 08:46:00;58;18;272507;;
Bearb. Koordinaten Tier;02.01.2021 10:07:00;20;19;272516;;
Bearb. Playlist;02.01.2021 11:37:00;9;20;272519;;
Bearbeitung Bewertung der Probleme;02.01.2021 11:47:00;31;21;272523;;
div. Surfen;02.01.2021 12:23:00;73;22;272524;;
Wechsel Leuchtmittel WC / Inventur Leuchtmittel;02.01.2021 13:10:00;71;23;272526;;
Bearbeitung PSR-60 ROM Disassembly 1;02.01.2021 14:24:00;32;24;272530;;
Bearbeitung Mails;02.01.2021 14:59:00;73;25;272532;;
Scootersuche;02.01.2021 16:21:00;20;26;272540;;
Bearb. Badewanne mit Papa (u.a.);02.01.2021 16:30:00;38;27;272541;;
div. Surfen;02.01.2021 16:43:00;73;28;272544;;
Bearbeitung PSR-60 ROM Disassembly 1;02.01.2021 17:18:00;32;29;272546;;
Wunsch Plattenkiste;02.01.2021 18:54:00;58;30;272549;;
Bearbeitung Mails;02.01.2021 19:09:00;73;31;272551;;
AE / Bearb. Kommentare Kontengebarung;02.01.2021 19:28:00;31;32;272554;;
Bearb. Koordinaten Tier;02.01.2021 20:35:00;20;33;272555;;
MAME Mario Bros. (19');02.01.2021 20:36:00;56;34;272557;;
Ansehen ZiB 1;02.01.2021 20:56:00;58;35;272558;;
Scan div. Radiosender;02.01.2021 21:02:00;58;36;272561;;
Bearb. Playlist;02.01.2021 22:13:00;9;37;272564;;
Ansehen YouTube-Videos;02.01.2021 22:15:00;73;38;272566;;
Wechsel Glühbirne Kabinett;03.01.2021 08:07:00;71;39;272575;;
Bearb. Playlist;03.01.2021 08:32:00;9;40;272577;;
Scan Radio Plattenkiste;03.01.2021 08:36:00;58;41;272578;;
Bearbeitung Mails;03.01.2021 10:51:00;73;42;272584;;
Bearbeitung PSR-60 ROM Disassembly;03.01.2021 10:55:00;32;43;272585;;
Anhören / Eingabe 3-Groschen-Oper u.a.;03.01.2021 12:10:00;9;44;272590;;
Themen für Mittagessen;03.01.2021 12:46:00;31;45;272594;;
Inventur Glühbirnen Papa;03.01.2021 14:28:00;38;46;272597;;
div. Surfen;03.01.2021 15:42:00;73;47;272600;;
Ansehen YouTube-Videos;03.01.2021 16:09:00;73;48;272601;;
MAME Mario Bros.;03.01.2021 16:18:00;56;49;272602;;
Scan Radio Plattenkiste;03.01.2021 16:38:00;58;50;272603;;
Bearb. Koordinaten Tier;03.01.2021 17:59:00;20;51;272604;;
Bearbeitung PSR-60 ROM Disassembly;03.01.2021 18:07:00;32;52;272605;;
Abgabe Wunsch Musikwelle;03.01.2021 20:09:00;58;53;272611;;
Scan div. Radiosender;03.01.2021 20:13:00;58;54;272616;;
Bearb. Koordinaten Tier;03.01.2021 20:54:00;20;55;272618;;
AE / Kommentare Kontengebarung;03.01.2021 20:57:00;31;56;272619;;
Scootersuche;11.01.2021 18:43:00;20;193;273072;;
Reverse Engineering Yamaha Playcard;11.01.2021 18:51:00;32;194;273076;;
Ansehen YouTube-Videos;11.01.2021 19:29:00;73;195;273078;;
Bearb. Koordinaten Tier;11.01.2021 20:46:00;20;196;273081;;
Ansehen ZiB 1;11.01.2021 20:59:00;58;197;273082;;
Planung / Aufwandserfassung;11.01.2021 21:18:00;31;198;273084;;
Bearb. Playlist;11.01.2021 22:26:00;9;199;273085;;
div. Surfen;11.01.2021 22:30:00;73;200;273088;;
div. Surfen;12.01.2021 07:31:00;73;201;273092;;
Scan div. Radiosender;12.01.2021 07:38:00;58;202;273093;;
Bearb. Playlist;12.01.2021 08:11:00;9;203;273094;;
Bearbeitung Play Card System;12.01.2021 08:17:00;32;204;273098;;
Bearb. Koordinaten Tier;12.01.2021 09:48:00;20;205;273105;;
Bearbeitung Bewertung der Probleme;12.01.2021 09:54:00;31;206;273109;;
Scootersuche;12.01.2021 19:21:00;20;207;273115;;
Bearbeitung Play Card System (UPA-01) (1985) (Yamaha) (J).asm;12.01.2021 19:27:00;32;208;273118;;
Ansehen ZiB 1;12.01.2021 22:24:00;58;209;273120;;
Ansehen YouTube-Videos;12.01.2021 22:28:00;73;210;273121;;
div. Surfen;13.01.2021 07:24:00;73;211;273137;;
Bearbeitung Play Card System (UPA-01) (1985) (Yamaha) (J).asm;13.01.2021 07:36:00;32;213;273140;;
Scan div. Radiosender;13.01.2021 09:02:00;58;214;273141;;
Bearb. Koordinaten Tier;13.01.2021 09:34:00;20;215;273152;;
Bearbeitung Bewertung der Probleme;13.01.2021 09:38:00;31;216;273153;;
Scootersuche;13.01.2021 17:44:00;20;217;273161;;
div. Surfen;13.01.2021 18:23:00;73;218;273165;;
Ansehen YouTube-Videos;13.01.2021 18:47:00;73;219;273167;;
Posting Youtube;13.01.2021 20:14:00;73;220;273168;;
Bearb. Koordinaten Tier;13.01.2021 20:16:00;20;221;273170;;
Bearbeitung Play Card System (UPA-01) (1985) (Yamaha) (J).asm;13.01.2021 20:31:00;32;222;273171;;
Ansehen ZiB 1;13.01.2021 21:36:00;58;223;273173;;
Aufwandserfassung;13.01.2021 21:38:00;31;224;273175;;
Bearb. Playlist;13.01.2021 22:46:00;9;225;273176;;
Scan div. Radiosender;14.01.2021 08:11:00;58;226;273189;;
Bearb. Koordinaten Tier;14.01.2021 08:53:00;20;227;273191;;
Bearbeitung Play Card System (UPA-01) (1985) (Yamaha) (J).asm;14.01.2021 08:56:00;32;228;273192;;
Bearb. Playlist;14.01.2021 09:51:00;9;229;273196;;
div. Surfen;14.01.2021 09:53:00;73;230;273201;;
Bearbeitung Bewertung der Probleme;14.01.2021 10:01:00;31;231;273202;;
Scootersuche;14.01.2021 18:43:00;20;232;273214;;
div. Surfen;14.01.2021 18:51:00;73;233;273217;;
Ansehen YouTube-Videos;14.01.2021 18:57:00;73;234;273218;;
Bearbeitung Play Card System (UPA-01) (1985) (Yamaha) (J).asm;14.01.2021 20:01:00;32;235;273219;;
Bearb. Koordinaten Tier;14.01.2021 20:51:00;20;236;273220;;
Ansehen ZiB 1;14.01.2021 20:54:00;58;237;273221;;
Aufwandserfassung;14.01.2021 22:09:00;31;238;273226;;
Bearb. Playlist;14.01.2021 22:51:00;9;239;273230;;
