tier;name;code;account_prefix;parent;list;priority;fixed_time;status;sources;source_count;variant_count;notes
1;2 Mails an Verwandte;;VE;;;0;;active;access_Tab_Aktionen, access_Tab_Aufwandserfassung;2;0;
1;2 Mails Verwandte Mappen Kurti-Opa;;VE;;;0;;active;access_Tab_Aktionen, access_Tab_Aufwandserfassung;2;0;
1;2 Postings Zeiten Atariage;;CS;;;0;;active;access_Tab_Aktionen, access_Tab_Aufwandserfassung;2;0;
1;Abbau Livestream;;MU;;;0;;active;access_Tab_Aktionen, access_Tab_Aufwandserfassung;2;0;
1;Abendzer.;;LE;;;0;;active;access_Tab_Aufwandserfassung, window_logger_vb5;2;0;
1;Abgabe Musikwunsch ISW;;RA;;;0;;active;access_Tab_Aktionen, access_Tab_Aufwandserfassung;2;0;
1;Abgabe Wunsch Musikwelle;;RA;;;0;;active;access_Tab_Aktionen, access_Tab_Aufwandserfassung;2;0;
1;Abhalten BKDD Standup Meeting;BREPGM;;;Liste_Arbeit;1.845;11:00;active;ablauf_planned, csv, old_cs, yaml_exceptions;4;1;seen 172x across Ablauf files
1;Abhalten PKT Projekt Jour Fixe;BREPGM;;;Liste_Arbeit;1.84;10:00;active;ablauf_planned, csv, old_cs;3;1;seen 37x across Ablauf files
1;Abheben Geld;;FI;;;0;;active;ablauf_unplanned, access_Tab_Aufwandserfassung;2;2;
1;Ablegen Gurgeltest;;BR;;;0;;active;access_Tab_Aktionen, access_Tab_Aufwandserfassung;2;2;
1;Abschluss;BRALAB;;;Liste_Arbeit;1.84;;active;ablauf_planned, ablauf_unplanned, csv, old_cs;4;1;seen 135x across Ablauf files
1;Abschluss Die neue Normalität;;MU;;;0;;active;access_Tab_Aktionen, access_Tab_Aufwandserfassung;2;0;
1;Abwiegen;LEMTAW;;;Liste_Morgentoilette;0;;active;ablauf_planned, old_cs;2;1;seen 319x across Ablauf files
1;AE / Abr. Halbmon. / 16.-17.7.2020;;KS;;;0;;active;access_Tab_Aktionen, access_Tab_Aufwandserfassung;2;0;
1;AE / Abr. Mon. / 1.8.2020;;KS;;;0;;active;access_Tab_Aktionen, access_Tab_Aufwandserfassung;2;0;
1;AE / Abr. Mon. 8/2021;;KS;;;0;;active;access_Tab_Aktionen, access_Tab_Aufwandserfassung;2;0;
1;AE / Bearb. Kommentare Kontengebarung;;KS;;;0;;active;access_Tab_Aktionen, access_Tab_Aufwandserfassung;2;0;
1;AE / Druck Kommentare Kontengebarung;;KS;;;0;;active;access_Tab_Aktionen, access_Tab_Aufwandserfassung;2;0;
1;AE / Kommentare Kontengeb.;;KS;;;0;;active;access_Tab_Aktionen, access_Tab_Aufwandserfassung;2;0;
1;AE / Kommentare Kontengebarung;;KS;;;0;;active;access_Tab_Aktionen, access_Tab_Aufwandserfassung;2;0;
1;AE / Kommentare Kontengebarung / Window Logger;;KS;;;0;;active;access_Tab_Aktionen, access_Tab_Aufwandserfassung;2;0;
1;AE / Kommentare zur Kontengebarung 1. Hj. 2020;;KS;;;0;;active;access_Tab_Aktionen, access_Tab_Aufwandserfassung;2;0;
1;AE / Korr.lesen / Druck Kontengeb. 1. Hj. 2020;;KS;;;0;;active;access_Tab_Aktionen, access_Tab_Aufwandserfassung;2;0;
1;AE / Korr.lesen Kommentare Kontengebarung;;KS;;;0;;active;access_Tab_Aktionen, access_Tab_Aufwandserfassung;2;0;
1;AE / Taskliste;;KS;;;0;;active;access_Tab_Aktionen, access_Tab_Aufwandserfassung;2;0;
1;Aktienhandel;;PA;;;0;;active;ablauf_unplanned, access_Tab_Aufwandserfassung;2;2;
1;Aktualisierung Radiowerte;;RA;;;0;;active;access_Tab_Aktionen, access_Tab_Aufwandserfassung;2;0;
1;Aktualisierung Radiowertungen;;RA;;;0;;active;ablauf_unplanned, access_Tab_Aufwandserfassung;2;0;unplanned, seen 1x across Ablauf files
1;Amazon Women Spectrum;;CS;;;0;;active;access_Tab_Aktionen, access_Tab_Aufwandserfassung;2;0;
1;Analyse Disassembly Astro Bomber;CSGAUM;;;Liste_Spiele;1.81;;active;ablauf_planned, csv;2;7;seen 122x across Ablauf files
1;Analyse Disassembly Tour de France;CSGAUM;;;Liste_Spiele;1.81;;active;ablauf_planned, csv;2;1;seen 38x across Ablauf files
1;Analyse Kartenaufbau Link;;FZ;;;0;;active;access_Tab_Aktionen, access_Tab_Aufwandserfassung;2;2;
1;Analyse Wellenformen Edi's Orgel;;MU;;;0;;active;access_Tab_Aktionen, access_Tab_Aufwandserfassung;2;0;
1;andere Aktivität;;;;;0;;active;access_Tab_Aufwandserfassung, window_logger_vb5;2;0;
1;Anfrage Ersoy Mittagessen;LEMEAE;;;Liste_Morgentoilette;0;;active;ablauf_unplanned, old_cs;2;0;unplanned, seen 1x across Ablauf files
1;Anhören / Eingabe 3-Groschen-Oper u.a.;;RW;;;0;;active;access_Tab_Aktionen, access_Tab_Aufwandserfassung;2;0;
1;Anhören / Eingabe Tonträger;;RW;;;0;;active;access_Tab_Aktionen, access_Tab_Aufwandserfassung;2;0;
1;Anhören Aufnahmen Teamgrillen;;MU;;;0;;active;ablauf_unplanned, access_Tab_Aufwandserfassung;2;0;unplanned, seen 1x across Ablauf files
1;Anhören Aufnahmen von Teamgrillen;;RW;;;0;;active;ablauf_unplanned, access_Tab_Aufwandserfassung;2;0;unplanned, seen 1x across Ablauf files
1;Anhören CD Tina / Druck Single-Covers;;RW;;;0;;active;access_Tab_Aktionen, access_Tab_Aufwandserfassung;2;0;
1;Anhören CD Tina / Eingabe Singles;;RW;;;0;;active;access_Tab_Aktionen, access_Tab_Aufwandserfassung;2;0;
1;Anhören CDs Tina / Eingabe Singles Boney M:;;RW;;;0;;active;access_Tab_Aktionen, access_Tab_Aufwandserfassung;2;0;
1;Anhören eigener Tonträger / Nachdruck Hüllen;;RW;;;0;;active;access_Tab_Aktionen, access_Tab_Aufwandserfassung;2;0;
1;Anhören Kass. Kar.gesang;;RW;;;0;;active;access_Tab_Aktionen, access_Tab_Aufwandserfassung;2;2;
1;Anhören LP Bruckner Requiem u.a. mit Papa;;RW;;;0;;active;access_Tab_Aktionen, access_Tab_Aufwandserfassung;2;0;
1;Anhören Radiosender;RWMPMP;;;;0;;active;ablauf_planned, ablauf_unplanned;2;3;seen 1x across Ablauf files
1;Anhören Radiosender / Radio Würmchen / Tonträger / Ohrwürmer;RWMPMP;;;Liste_Morgentoilette;1.835;06:00;active;ablauf_planned, ablauf_unplanned, csv, old_cs;4;1;seen 141x across Ablauf files
1;Anhören Radiosender / Tonträger / Ansehen Youtube-Videos;RWMPMP;;;Radio;1.826;;active;ablauf_planned, csv, old_cs;3;20;seen 1178x across Ablauf files
1;Anhören RW KI;RWMPMP;;;;0;;active;ablauf_planned, ablauf_unplanned;2;1;
1;Anhören RW-Prg.;RWMPAR;RW;;;0;;active;ablauf_planned, access_Tab_Aufwandserfassung;2;3;seen 20x across Ablauf files
1;Anhören RW-Prg. / Tonträger / Radiosender / Ohrwürmer;RWMPAR;;;Radio;1.833;08:52;active;ablauf_planned, ablauf_unplanned, csv, old_cs;4;16;seen 187x across Ablauf files
1;Anhören RW-Prg. Mit Papa;;RW;;;0;;active;access_Tab_Aktionen, access_Tab_Aufwandserfassung;2;0;
1;Anhören RW-Prg. mit Sati + Akif Ersoy;RWMPSE;;;;0;;active;ablauf_planned, ablauf_unplanned;2;1;seen 2x across Ablauf files
1;Anhören RW-Prg. mit Sati Ersoy;RWMPSE;;;Liste_Putzen;1.84;09:30;active;ablauf_planned, ablauf_unplanned, csv, old_cs;4;1;seen 95x across Ablauf files
1;Anhören RW-Programm;RWMPMP;RW;;;0;;active;ablauf_planned, access_Tab_Aktionen, access_Tab_Aufwandserfassung;3;4;seen 1x across Ablauf files
1;Anhören RW-Programm + Kassette mit Papa;;RW;;;0;;active;access_Tab_Aktionen, access_Tab_Aufwandserfassung;2;0;
1;Anhören RW-Programm mit Heinrich;;RW;;;0;;active;access_Tab_Aktionen, access_Tab_Aufwandserfassung;2;0;
1;Anhören RW-Programm mit Papa;;RW;;;0;;active;access_Tab_Aktionen, access_Tab_Aufwandserfassung;2;0;
1;Anhören RW-Prrg.;;RW;;;0;;active;access_Tab_Aktionen, access_Tab_Aufwandserfassung;2;2;
1;Anhören Singles / Nachdruck Hüllen;;RW;;;0;;active;access_Tab_Aktionen, access_Tab_Aufwandserfassung;2;0;
1;Anhören Youtube-Videos mit Papa;;RW;;;0;;active;access_Tab_Aktionen, access_Tab_Aufwandserfassung;2;0;
1;Anleitung Putzfrau;;WF;;;0;;active;access_Tab_Aktionen, access_Tab_Aufwandserfassung;2;0;
1;Anmeldung bei Link;;FZ;;;0;;active;access_Tab_Aktionen, access_Tab_Aufwandserfassung;2;0;
