activity;list;priority;minutes;started_at;completed_at;skipped;original_activity;comment
Aufstehen, Rasierer fasssen LEMTAU;Liste_Morgentoilette;1.841;1;05:55:00;05:57:00;nein;;
Rasieren, dabei Planung (Auswertung Vortag, LEMTRA;Liste_Morgentoilette;1.84;15;05:57:00;06:18:00;nein;Rasieren, dabei Planung (C#-Programm), Bearb. Ohrwürmer (durchgenommen) LEMTRA;
Besprechung Vortagsergebnis (viele Skips + ungeplantes) mit OpenClaw;ungeplant;0.0;22;06:18:00;06:40:00;nein;;
Start Radio Arabella RWMPMP;Liste_Morgentoilette;1.835;4;06:40:00;06:41:00;nein;Anhören Radiosender / Radio Würmchen / Tonträger / Ohrwürmer RWMPMP;
Bearb. Essensplan (Änderung Sollwerte) LEEPUH;Liste_Morgentoilette;1.84;11;06:41:00;06:54:00;nein;;
WC;ungeplant;0.0;2;06:54:00;06:56:00;nein;;Task-Kürzel wurde nicht vorgeschlagen!
Arbeit an Planungstool mit OpenClaw;ungeplant;0.0;15;06:56:00;07:11:00;nein;;
Bearb. Essensplan (gegessen, zu essen, Start Korrekturlauf) LEEPEP;Liste_Morgentoilette;1.84;4;07:11:00;07:16:00;nein;;
Feinschliff bei der Rasur LEMTFR;Liste_Morgentoilette;1.84;6;07:16:00;07:22:00;nein;;
Ausputzen Rasierer LEMTAR;Liste_Morgentoilette;1.846;2;07:22:00;07:24:00;nein;;
WC LEMTWC;ungeplant;0.0;7;07:24:00;07:31:00;nein;;
Bearb. Essensplan (Vorschläge Strake) LEEPVO;Liste_Schwimmbad;1.846;5;07:31:00;07:41:00;nein;;Vorschlag für Strake: Crazy Pizza
Ausziehen LEMTAZ;ungeplant;0.0;2;07:41:00;07:43:00;nein;;
Anziehen LEMTAN;ungeplant;0.0;2;07:43:00;07:45:00;nein;;
Einpacken für Schwimmbad GEGYES;Liste_Schwimmbad;1.846;5;07:45:00;07:48:00;nein;;
